,Entity,Code,Year,Affordability
46,Australia,AUS,2010,1.95
47,Australia,AUS,2012,2.06
48,Australia,AUS,2014,2.5
49,Australia,AUS,2016,3.01
50,Australia,AUS,2018,2.75
51,Australia,AUS,2020,3.89
194,China,CHN,2010,2.48
195,China,CHN,2012,2.66
196,China,CHN,2014,2.46
197,China,CHN,2016,2.38
198,China,CHN,2018,2.14
199,China,CHN,2020,2.1
342,France,FRA,2010,1.76
343,France,FRA,2012,1.88
344,France,FRA,2014,2.08
345,France,FRA,2016,2.02
346,France,FRA,2018,2.19
347,France,FRA,2020,2.91
366,Germany,DEU,2010,1.55
367,Germany,DEU,2012,1.54
368,Germany,DEU,2014,1.51
369,Germany,DEU,2016,1.58
370,Germany,DEU,2018,1.58
371,Germany,DEU,2020,1.76
458,Israel,ISR,2010,1.83
459,Israel,ISR,2012,1.83
460,Israel,ISR,2014,2.22
461,Israel,ISR,2016,2.49
462,Israel,ISR,2018,2.4
463,Israel,ISR,2020,2.36
476,Japan,JPN,2010,0.77
477,Japan,JPN,2012,1.06
478,Japan,JPN,2014,1.06
479,Japan,JPN,2016,1.04
480,Japan,JPN,2018,1.02
481,Japan,JPN,2020,1.22
800,Russia,RUS,2010,0.89
801,Russia,RUS,2012,0.93
802,Russia,RUS,2014,1.24
803,Russia,RUS,2016,1.8
804,Russia,RUS,2018,1.75
805,Russia,RUS,2020,2.22
903,South Korea,KOR,2010,0.94
904,South Korea,KOR,2012,0.87
905,South Korea,KOR,2014,0.81
906,South Korea,KOR,2016,1.32
907,South Korea,KOR,2018,1.22
908,South Korea,KOR,2020,1.23
1027,United Arab Emirates,ARE,2010,0.54
1028,United Arab Emirates,ARE,2012,0.51
1029,United Arab Emirates,ARE,2014,0.63
1030,United Arab Emirates,ARE,2016,0.83
1031,United Arab Emirates,ARE,2018,1.35
1032,United Arab Emirates,ARE,2020,1.79
1033,United Kingdom,GBR,2010,2.46
1034,United Kingdom,GBR,2012,2.46
1035,United Kingdom,GBR,2014,2.61
1036,United Kingdom,GBR,2016,2.73
1037,United Kingdom,GBR,2018,2.91
1038,United Kingdom,GBR,2020,3.36
1039,United States of America,USA,2010,1.18
1040,United States of America,USA,2012,1.18
1041,United States of America,USA,2014,1.13
1042,United States of America,USA,2016,1.11
1043,United States of America,USA,2018,1.09
1044,United States of America,USA,2020,1.16
